Questions,Responses,Count
What city do you work in or nearest to?,Aarhus,4
What city do you work in or nearest to?,Copenhagen,17
What city do you work in or nearest to?,"Lund, Sweden",1
What city do you work in or nearest to?,Odense,1
What gender do you identify with?,Man,5
What gender do you identify with?,Woman,18
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner,1
How do you perceive your skill/knowledge of... [data analysis in general?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate,6
How do you perceive your skill/knowledge of... [data analysis in general?],Intermediate-Advanced,5
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner,18
How do you perceive your skill/knowledge of... [formal version control (e.g. Git)?],Beginner-Intermediate,5
How do you perceive your skill/knowledge of... [managing data in general?],Beginner,4
How do you perceive your skill/knowledge of... [managing data in general?],Beginner-Intermediate,11
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate,4
How do you perceive your skill/knowledge of... [managing data in general?],Intermediate-Advanced,4
How do you perceive your skill/knowledge of... [programming in general?],Beginner,8
How do you perceive your skill/knowledge of... [programming in general?],Beginner-Intermediate,8
How do you perceive your skill/knowledge of... [programming in general?],Intermediate,4
How do you perceive your skill/knowledge of... [programming in general?],Intermediate-Advanced,3
How do you perceive your skill/knowledge of... [using R?],Beginner,2
How do you perceive your skill/knowledge of... [using R?],Beginner-Intermediate,12
How do you perceive your skill/knowledge of... [using R?],Intermediate,7
How do you perceive your skill/knowledge of... [using R?],Intermediate-Advanced,2
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner,8
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Beginner-Intermediate,9
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate,4
How do you perceive your skill/knowledge of... [writing in or using R Markdown?],Intermediate-Advanced,2
What programs have you previously used for data analysis?,Excel,6
What programs have you previously used for data analysis?,"Excel, Graph Pad",1
What programs have you previously used for data analysis?,"Excel, R",1
What programs have you previously used for data analysis?,"Matlab, Excel",1
What programs have you previously used for data analysis?,None. Previously only very little knowledge of data analysis/programming (this in STATA). So started learning data analysis properly for the first time in R.,1
What programs have you previously used for data analysis?,"Python, Matlab, Excel",1
What programs have you previously used for data analysis?,"Python, Matlab, Linux",1
What programs have you previously used for data analysis?,SAS,2
What programs have you previously used for data analysis?,"SAS, Excel",1
What programs have you previously used for data analysis?,"SAS, SPSS, Excel, R",1
What programs have you previously used for data analysis?,"SAS, SPSS, Python, Excel",1
What programs have you previously used for data analysis?,SPSS,1
What programs have you previously used for data analysis?,"SPSS, Excel",1
What programs have you previously used for data analysis?,"SPSS, Excel, Graphpad Prism",1
What programs have you previously used for data analysis?,"SPSS, Stata",1
What programs have you previously used for data analysis?,Stata,2
What is your formal position?,PhD student,15
What is your formal position?,Postdoc,6
What is your formal position?,Research Assistant,1
What is your formal position?,Scientist,1
