research_position,city_work_in,research_topic,perceived_skill_r,perceived_skill_data_analysis,perceived_skill_programming,perceived_skill_data_management,perceived_skill_git,perceived_skill_rmd,previously_used_stat_programs,course_expectations,expectations_match_syllabus,matched_assumptions,accept_conduct,feedback_worked_well,feedback_to_improve
PhD student,Odense,The impact of hypoglycaemia on the quality of life of adults with type 1 diabetes,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,"SPSS, Excel",I expect to learn how to conduct some basic statistical analyses in RStudio. I would like to be able to apply these skills later in the year when I have some data to work with for a big data project.,Yes,Yes - I have taken the introductory course and have a little amount of R/Git knowledge,Yes,It was easy enough to set up the packages and project,Encouragement to open the survey before beginning
PhD student,Copenhagen,Genetic Epidemiology,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner-Intermediate,Very briefly SAS,"Becoming more familiar with R, especially the functions, plus being better at using Git and make reproducible data analysis","Yes, very much :)","I am a researcher in the epidemiological field, working with diabetes and metabolism. I do quantitative data analysis in R, and I believe I am familiar with the June R course, despite I was not there as a participant,  but a helper :)",Yes,Always very well-described. Thanks!,Pictures of kittens.
Postdoc,Copenhagen,Liver metabolism,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Beginner,"SPSS, Matlab, Excel, Graphpad prism",I would like to further develop my R skills and to become more aware of version control with Git,"I think so, yes","I think so. I did not participate in the introductory R course, but I followed one during Corona lockdown. I have also followed an online course about Tidyverse and setup a Github account",Yes,The coding examples make it very easy to follow,Maybe some more concrete examples about how to use version control in our daily work
PhD student,Copenhagen,"Interleukin-6, energy metabolism",Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,"Excel, Graphpad Prism",How to wrangle and analyse data efficiently and reproducibly,Yes,"Yes, I am an endocrinologist/diabetologist researcher, currently getting data from my first study for analysis and have practised R a bit after taking some beginners courses online and at Copenhagen University.",Yes,Everything was written very clearly overall.,Cannot think of anything for now.
Postdoc,Copenhagen,Metagenomics and multi-omics integration in T2D,Intermediate-Advanced,Intermediate,Intermediate,Intermediate,Beginner-Intermediate,Intermediate,"Python, Excel","To improve my R skills, specially regarding the annotation, planning and reporting of my code writing and modifications.",yes,"Yes, I mainly work with data analysis, using R, thus I have certain experience on the language, although not any specific requirements have been implemented yet on the version control in my working place, for which my knowledge on this section of the language is limited.",Yes,Installation instructions are easy to follow.,"Text distribution could be improved. For example, I created a n RStudio project form the start to later realize that I was expected to create it by specific code typing so that the rest of the functions could work appropriately."
Postdoc,Copenhagen,Metagenomic analysis of gut microbiome in relation to type 2 diabetes,Beginner-Intermediate,Intermediate,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,"Python, Excel, PERL","I wish to be able to write codes and create pipelines for my analysis that is more reproducible, readable, and that can be easily re-used for my future self and for my collaborators and colleagues",Yes,I am researcher working on metagenomic analysis of gut microbiome in relation to type 2 diabetes,Yes,The instructions in the pre-course tasks materials were clear and easy to follow.,Nothing that I can think of right now.
PhD student,Aalborg,Non-alcoholic fatty liver disease and extracellular vesicles,Intermediate,Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,SPSS,"As I am very much self-taught when it comes to R and programming I often have the mentality that as long at the syntax do what I wish of it, it must be perfect. This is especially true for data-wrangling, where I somehow always end up with very messy raw-data.  I hope that this course might instil upon me a more official and simpler way to go about data-analysis (especially wrangling) using R. And also give me some pointers and critique  my not-optimal way of writing syntax.",My expectations matches somewhat.,It match with me somewhat.,Yes,I had most of it up and running already. But it seemed like a good way to get people up to date with stuff.,"I would personally prefer installing the packages and running commands manually using something similar of a R-script file compared to a companion package (R3). This is as I prefer to know what exactly I am doing. Additionally, we ran some functions from the usethis package, without an explanation off the function. I would have appreciated a short description of the functions before having to run them."
Postdoc,Copenhagen,"Epidemiology, social inequality, diabetes",Beginner-Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner-Intermediate,SAS,I would like to improve my R-skills and how to produce well-documented code.,Yes,Mostly. I am not familiar with tidyverse or Git but will go through the material from the introduction course before the course.,Yes,It worked well. Fair to refer to the material for the introduction course.,"I was unsure whether my output from r3::check_project_setup() looks as it is supposed to.This was my first time installing Git and first there was no Git icon in RStudio, which confused me a lot. It appeared when I created my first project. A comment about this would have been helpful :-)"
PhD student,Copenhagen,Diabetes epidemiology,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner-Intermediate,Beginner,Intermediate,"SAS, SPSS, Excel",Learn RBe better at data management and cleaningBeing more reproducible in my codingLearn version control,yes,Yes. I am i phd student within diabetes epidemiology. I have done the DDA R  introductory course and have been doing data management and cleaning on the register data that I use in Rstudio.,Yes,Everything worked well!,Nothing
Postdoc,Copenhagen,"Diet, genetics, and metabolic diseases of Inuit",Intermediate,Intermediate,Intermediate,Intermediate,Beginner,Beginner,"SAS, R",get hands-on experience on how to work on shared projects in a smart way,yes,Somehow - I don't have experience with Git/Github,Yes,"specific, short tasks to be done.","Not easy to figure out what the problem is when getting errors in R. The webpage for the intro course is very similar to the one for this course, and I got them mixed up several times as the webpage links to the page for the first course."
