day,session,worked_well,could_be_improved
Day 1,"Basic setup and workflow and Importing data, fast s",the explanation steps were easy to follow,it was good
Day 1,"Basic setup and workflow and Importing data, fast s",Everything,nothing
Day 1,"Basic setup and workflow and Importing data, fast s",the exxercises,using datasets with lots of variables
Day 1,"Basic setup and workflow and Importing data, fast s",Particularly fond of the exercises and code-alongs. Repetition was nice for my learning curve too.,Nothing comes to mind.
Day 1,"Basic setup and workflow and Importing data, fast s","nice tempo, not too difficult. It was nice to go through the workflow",dont know
Day 1,"Basic setup and workflow and Importing data, fast s",It was clear and easy to follow,nothing
Day 1,"Basic setup and workflow and Importing data, fast s","everything, nice with the blue/orange stickies",maybe specify a bit cleare what we should discuss e.g. regarding workflow...or maybe it was just because I haven't learned enough about R I didn't understood it. But t helped when we discussed it afterwards :)
Day 1,"Basic setup and workflow and Importing data, fast s",The course material is great and the environment is nice,"maybe some introduction to the test data, what do we want to achieve in the end"
Day 1,"Basic setup and workflow and Importing data, fast s",quick help with sticky notes,sometimes a little bit hard to follow
Day 1,"Basic setup and workflow and Importing data, fast s",the exercises were great as you had time to go through it in your own time,I don't know if I would change anything
Day 1,"Basic setup and workflow and Importing data, fast s","Basically everything, following along with the code and then trying it out yourself afterwards. The increasing in difficulty is appropriate. Good pace. Not to slow or too fast.",I don't have any input for this.
Day 1,"Basic setup and workflow and Importing data, fast s","The figure with the overview, the table discusions, the different examples fx. how to load the different file types you come across",NA
Day 1,"Basic setup and workflow and Importing data, fast s",It worked well. Easy to get help. Scripts are working.,"Maybe explain more what the different packages/functions does, e.g. here package in class. Maybe shorter time for reading and time in group discussion to gain more time for explaining whats happening."
Day 1,"Basic setup and workflow and Importing data, fast s",The progressive nature of the building up of different aspects of code,"It is difficult to catch up after something has failed, you need to receive help and then rejoin the group activities"
Day 1,"Basic setup and workflow and Importing data, fast s",mix between exercises and lectures,?
Day 1,"Basic setup and workflow and Importing data, fast s",basically everything,"i might be too slow, but every time you had to cut or copy i did not have enough time which delayed me in the following tasks"
Day 1,"Basic setup and workflow and Importing data, fast s","It was really clear and nice, vroom was new for me, it worked very well. I also learnt a different way of importing data, I would call it ""precise uploading""",In my opinion it is OK at this level.
Day 1,"Basic setup and workflow and Importing data, fast s",Following the code-along was easy.,"I have rarely come across data sets where each individual person is kept within one folder, often the dataset to be imported is one large file. Although, I can see how the import of data could be applied to such a dataset."
