id,survey_item,response
07d7fbe3c9,I think I learned a lot from this course,Strongly agree
07d7fbe3c9,I think there was a good mix of learning activities that encouraged my active participation,Neutral
07d7fbe3c9,I think the content on the website clearly communicated the concepts,Neutral
07d7fbe3c9,I think the instructors clearly communicated the concepts,Agree
07d7fbe3c9,I think there was good alignment between the learning activities,Agree
07d7fbe3c9,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
07d7fbe3c9,"In general, I think this is a good course",Agree
01422a43ed,I think I learned a lot from this course,Strongly agree
01422a43ed,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
01422a43ed,I think the content on the website clearly communicated the concepts,Strongly agree
01422a43ed,I think the instructors clearly communicated the concepts,Strongly agree
01422a43ed,I think there was good alignment between the learning activities,Strongly agree
01422a43ed,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
01422a43ed,"In general, I think this is a good course",Strongly agree
5cbf68b11c,I think I learned a lot from this course,Agree
5cbf68b11c,I think there was a good mix of learning activities that encouraged my active participation,Neutral
5cbf68b11c,I think the content on the website clearly communicated the concepts,Agree
5cbf68b11c,I think the instructors clearly communicated the concepts,Strongly agree
5cbf68b11c,I think there was good alignment between the learning activities,Agree
5cbf68b11c,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Neutral
5cbf68b11c,"In general, I think this is a good course",Agree
67ec789075,I think I learned a lot from this course,Agree
67ec789075,I think there was a good mix of learning activities that encouraged my active participation,Agree
67ec789075,I think the content on the website clearly communicated the concepts,Strongly agree
67ec789075,I think the instructors clearly communicated the concepts,Agree
67ec789075,I think there was good alignment between the learning activities,Agree
67ec789075,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
67ec789075,"In general, I think this is a good course",Agree
2833e660da,I think I learned a lot from this course,Strongly agree
2833e660da,I think there was a good mix of learning activities that encouraged my active participation,Strongly agree
2833e660da,I think the content on the website clearly communicated the concepts,Strongly agree
2833e660da,I think the instructors clearly communicated the concepts,Strongly agree
2833e660da,I think there was good alignment between the learning activities,Strongly agree
2833e660da,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
2833e660da,"In general, I think this is a good course",Strongly agree
d7442b1833,I think I learned a lot from this course,Agree
d7442b1833,I think there was a good mix of learning activities that encouraged my active participation,Agree
d7442b1833,I think the content on the website clearly communicated the concepts,Strongly agree
d7442b1833,I think the instructors clearly communicated the concepts,Strongly agree
d7442b1833,I think there was good alignment between the learning activities,Strongly agree
d7442b1833,"I think this course has given me enough of a solid, basic grasp of the concepts that I feel confident about continuing using and learning them in my work",Agree
