Day,Time,Session topic,icon,link
Day 1,9:30,Arrival; coffee and snacks,mug-hot,
Day 1,10:00,Introduction to the course,person-chalkboard,../slides/introduction.html
Day 1,10:30,Basic setup and workflow,laptop-code,../sessions/introduction.html
Day 1,11:00,"Importing data, fast! (with short break)",laptop-code,../sessions/importing.html
Day 1,12:30,Lunch,utensils,
Day 1,13:15,Networking and social activity,user-group,../appendix/social.qmd#social-day-one
Day 1,13:45,"Save time, don't repeat yourself: Making functions",laptop-code,../sessions/functions.html
Day 1,15:00,Coffee break and snacks,mug-hot,
Day 1,15:15,"Save time, don't repeat yourself: Making functions",laptop-code,../sessions/functions.html
Day 1,16:45,End of day survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSe2gpbN9ExCXyeTfJLgu_poemF0iUtkcihnCunXl3YA4e1hHQ/viewform?usp=sf_link
Day 2,9:00,"Save time, don't repeat yourself: Using functionals",laptop-code,../sessions/functionals.html
Day 2,10:15,Coffee break and snacks,mug-hot,
Day 2,10:30,"Save time, don't repeat yourself: Using functionals",laptop-code,../sessions/functionals.html
Day 2,12:15,Lunch,utensils,
Day 2,13:00,Networking and social activity,user-group,../appendix/social.qmd#social-day-two
Day 2,13:30,Processing and joining datasets for cleaning,laptop-code,../sessions/dplyr-joins.html
Day 2,15:00,Coffee break and snacks,mug-hot,
Day 2,15:15,Processing and joining datasets for cleaning,laptop-code,../sessions/dplyr-joins.html
Day 2,16:45,End of day survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSe2gpbN9ExCXyeTfJLgu_poemF0iUtkcihnCunXl3YA4e1hHQ/viewform?usp=sf_link
Day 3,9:00,Quickly re-arranging data with pivots,laptop-code,../sessions/pivots.html
Day 3,10:15,Coffee break and snacks,mug-hot,
Day 3,10:30,Quickly re-arranging data with pivots,laptop-code,../sessions/pivots.html
Day 3,12:15,Lunch,utensils,
Day 3,13:00,Hands-on exercises,briefcase,../sessions/hands-on-work.html
Day 3,15:00,Coffee break and snacks,mug-hot,
Day 3,15:15,Hands-on exercises,laptop-code,../sessions/hands-on-work.html
Day 3,16:20,Closing remarks,person-chalkboard,../sessions/what-next.html
Day 3,16:45,Short survey and farewell,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSe2gpbN9ExCXyeTfJLgu_poemF0iUtkcihnCunXl3YA4e1hHQ/viewform?usp=sf_link
